-3.14159,-0.0707134
-3.09159,-0.0385864
-3.04159,-0.00888778
-2.99159,0.0181636
-2.94159,0.0424355
-2.89159,0.0638812
-2.84159,0.0825356
-2.79159,0.098508
-2.74159,0.111973
-2.69159,0.123156
-2.64159,0.132327
-2.59159,0.139778
-2.54159,0.145814
-2.49159,0.150737
-2.44159,0.154833
-2.39159,0.158363
-2.34159,0.161551
-2.29159,0.164576
-2.24159,0.167573
-2.19159,0.170626
-2.14159,0.173772
-2.09159,0.177005
-2.04159,0.180281
-1.99159,0.183525
-1.94159,0.186641
-1.89159,0.189522
-1.84159,0.19206
-1.79159,0.194153
-1.74159,0.195714
-1.69159,0.196679
-1.64159,0.197013
-1.59159,0.19671
-1.54159,0.195794
-1.49159,0.194321
-1.44159,0.19237
-1.39159,0.190044
-1.34159,0.187458
-1.29159,0.184732
-1.24159,0.181985
-1.19159,0.179324
-1.14159,0.176836
-1.09159,0.174582
-1.04159,0.17259
-0.991593,0.17085
-0.941593,0.169316
-0.891593,0.167899
-0.841593,0.166477
-0.791593,0.164891
-0.741593,0.162962
-0.691593,0.160489
-0.641593,0.157268
-0.591593,0.153104
-0.541593,0.147834
-0.491593,0.141367
-0.441593,0.133757
-0.391593,0.125358
-0.341593,0.117059
-0.291593,0.110401
-0.241593,0.106335
-0.191593,0.101275
-0.141593,0.0871466
-0.0915927,0.0614562
-0.0415927,0.0288291
0.00840735,-0.00607524
0.0584073,-0.0405097
0.108407,-0.0725797
0.158407,-0.100487
0.208407,-0.122462
0.258407,-0.137251
0.308407,-0.144857
0.358407,-0.146895
0.408407,-0.145983
0.458407,-0.144541
0.508407,-0.143973
0.558407,-0.144651
0.608407,-0.146345
0.658407,-0.148637
0.708407,-0.151152
0.758407,-0.153641
0.808407,-0.155974
0.858407,-0.158114
0.908407,-0.160076
0.958407,-0.161905
1.00841,-0.163652
1.05841,-0.165357
1.10841,-0.167048
1.15841,-0.168732
1.20841,-0.1704
1.25841,-0.172026
1.30841,-0.173569
1.35841,-0.174987
1.40841,-0.176231
1.45841,-0.177259
1.50841,-0.178036
1.55841,-0.178539
1.60841,-0.178761
1.65841,-0.17871
1.70841,-0.17841
1.75841,-0.177901
1.80841,-0.177233
1.85841,-0.176466
1.90841,-0.175664
1.95841,-0.174887
2.00841,-0.174192
2.05841,-0.173621
2.10841,-0.173201
2.15841,-0.172936
2.20841,-0.172809
2.25841,-0.172775
2.30841,-0.172764
2.35841,-0.172683
2.40841,-0.172415
2.45841,-0.171826
2.50841,-0.17077
2.55841,-0.169094
2.60841,-0.166646
2.65841,-0.163282
2.70841,-0.158874
2.75841,-0.153314
2.80841,-0.146525
2.85841,-0.138462
2.90841,-0.129119
2.95841,-0.118529
3.00841,-0.106765
3.05841,-0.0939437
3.10841,-0.0802179
